XLI,2023-03-01 00:00:00,selectkbest,skewness_6m,kurtosis_6m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,ROC_48m,momentum_diff_ROC_24m_48m,bollinger_high_12,bollinger_low_24
XLK,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLK,2023-03-01 00:00:00,selectkbest,skewness_6m,MACD_3m,MACD_6m,MACD_12m,ROC_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_RSI_24m_48m,adl
XLF,2023-03-01 00:00:00,causal,CPIAUCSL,price_oscillator,skewness_3m,ADX_6m,ROC_6m,UMCSENT,momentum_diff_ROC_3m_6m,BOPGSTB,ADX_24m,adl
XLP,2023-03-01 00:00:00,causal,bollinger_low_3,skewness_3m,kurtosis_12m,ADX_6m,bollinger_low_24,momentum_diff_RSI_6m_12m,ADX_3m,volume,momentum_diff_ROC_6m_12m,ROC_48m
XLF,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLP,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLF,2023-03-01 00:00:00,shap,CPIAUCSL,open,ADX_24m,skewness_3m,bollinger_high_24,volume,momentum_diff_ROC_3m_6m,bollinger_low_24,obv,ROC_12m
XLP,2023-03-01 00:00:00,shap,ADX_3m,bollinger_low_3,MACD_3m,open,bollinger_low_12,price_oscillator,ROC_6m,bollinger_low_24,ADX_48m,skewness_3m
XLF,2023-03-01 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,ADX_12m,RSI_24m,MACD_24m,ADX_24m,MACD_48m,bollinger_high_3,bollinger_high_12
XLP,2023-03-01 00:00:00,selectkbest,skewness_3m,kurtosis_24m,MACD_3m,ADX_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ADX_3m_6m,bollinger_low_3
XLY,2023-03-01 00:00:00,causal,bollinger_high_6,CPIAUCSL,bollinger_low_3,UNRATE,ROC_12m,UMCSENT,bollinger_high_12,ADX_3m,price_oscillator,bollinger_high_3
XLY,2023-03-01 00:00:00,shap,skewness_24m,UNRATE,RSI_48m,bollinger_high_3,UMCSENT,ROC_12m,kurtosis_6m,MACD_3m,bollinger_low_3,CPIAUCSL
XLV,2023-03-01 00:00:00,causal,bollinger_high_3,PPO_3m,momentum_diff_ROC_12m_24m,kurtosis_6m,bollinger_low_6,bollinger_high_6,momentum_diff_RSI_3m_6m,volume,skewness_24m,BOPGSTB
XLY,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLV,2023-03-01 00:00:00,shap,bollinger_high_3,PPO_3m,momentum_diff_ROC_12m_24m,CPIAUCSL,momentum_diff_ADX_3m_6m,UMCSENT,skewness_3m,ADX_48m,low,skewness_48m
XLY,2023-03-01 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,ROC_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_24m_48m,momentum_diff_ROC_24m_48m
XLU,2023-03-01 00:00:00,causal,skewness_3m,bollinger_high_6,ADX_3m,price_oscillator,ROC_12m,momentum_diff_ROC_3m_6m,MACD_3m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_24m_48m,bollinger_high_12
XLV,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
