date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,XLI,shap,XGBR,optuna,60,12,0.04140397164461622
2019-01-03,XLI,shap,XGBR,random,36,12,0.04180493717899336
2019-01-03,XLI,shap,XGBR,random,60,12,0.04180493717899336
2019-01-03,XLK,causal,LGBMR,optuna,36,12,0.03655478790766297
2019-01-03,XLK,causal,LGBMR,optuna,60,12,0.03602240165772824
2019-01-03,XLK,causal,LGBMR,random,36,12,0.03748904364039037
2019-01-03,XLK,causal,LGBMR,random,60,12,0.03705842718242709
2019-01-03,XLK,causal,RFR,optuna,36,12,0.035380877958446535
2019-01-03,XLK,causal,RFR,optuna,60,12,0.03681543274691289
2019-01-03,XLK,causal,RFR,random,36,12,0.03660375394216911
2019-01-03,XLK,causal,RFR,random,60,12,0.036751964259142615
2019-01-03,XLK,causal,XGBR,optuna,36,12,0.036042222799565274
2019-01-03,XLK,causal,XGBR,optuna,60,12,0.035980344250519915
2019-01-03,XLK,causal,XGBR,random,36,12,0.03494825204845936
2019-01-03,XLK,causal,XGBR,random,60,12,0.034396503177491995
2019-01-03,XLK,selectkbest,LGBMR,optuna,36,12,0.03414579702657702
2019-01-03,XLK,selectkbest,LGBMR,optuna,60,12,0.03511006679555329
2019-01-03,XLK,selectkbest,LGBMR,random,36,12,0.03302504930404356
2019-01-03,XLK,selectkbest,LGBMR,random,60,12,0.03302504930404356
2019-01-03,XLK,selectkbest,RFR,optuna,36,12,0.035856938278081806
2019-01-03,XLK,selectkbest,RFR,optuna,60,12,0.0360163709934199
2019-01-03,XLK,selectkbest,RFR,random,36,12,0.03567045693669111
2019-01-03,XLK,selectkbest,RFR,random,60,12,0.03567045693669111
2019-01-03,XLK,selectkbest,XGBR,optuna,36,12,0.03597589034386365
2019-01-03,XLK,selectkbest,XGBR,optuna,60,12,0.035249538824790254
2019-01-03,XLK,selectkbest,XGBR,random,36,12,0.03467473201317554
2019-01-03,XLK,selectkbest,XGBR,random,60,12,0.03467473201317554
2019-01-03,XLK,shap,LGBMR,optuna,36,12,0.03654542701768909
