n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,Modelo,Metodo,ETF,date
102,12,5,3,log2,RFR,optuna,XLY,2019-11-01
156,12,4,2,sqrt,RFR,optuna,XLF,2019-11-01
170,12,2,2,sqrt,RFR,optuna,VOX,2019-11-01
50,15,6,3,log2,RFR,optuna,XLE,2019-12-02
166,23,3,1,log2,RFR,optuna,SPY,2019-12-02
54,10,2,2,sqrt,RFR,optuna,XLF,2019-12-02
140,18,6,3,sqrt,RFR,optuna,XLI,2019-12-02
83,28,3,1,log2,RFR,optuna,XLU,2019-12-02
107,23,3,3,log2,RFR,optuna,XLB,2019-12-02
111,22,3,1,log2,RFR,optuna,XLV,2019-12-02
51,10,3,3,sqrt,RFR,optuna,IYR,2019-12-02
109,14,4,3,log2,RFR,optuna,XLP,2019-12-02
115,12,2,3,sqrt,RFR,optuna,XLY,2019-12-02
173,23,2,3,sqrt,RFR,optuna,XLK,2019-12-02
176,19,4,3,sqrt,RFR,optuna,VOX,2019-12-02
76,28,2,3,log2,RFR,optuna,XLE,2020-01-02
170,22,3,1,log2,RFR,optuna,SPY,2020-01-02
75,24,3,3,log2,RFR,optuna,XLY,2020-01-02
198,16,2,3,log2,RFR,optuna,XLB,2020-01-02
163,21,6,3,sqrt,RFR,optuna,XLI,2020-01-02
182,15,4,3,sqrt,RFR,optuna,XLK,2020-01-02
139,12,5,2,sqrt,RFR,optuna,XLP,2020-01-02
138,25,4,3,log2,RFR,optuna,XLF,2020-01-02
126,24,3,1,log2,RFR,optuna,XLV,2020-01-02
146,25,5,3,log2,RFR,optuna,XLU,2020-01-02
112,18,6,3,sqrt,RFR,optuna,IYR,2020-01-02
150,13,4,3,sqrt,RFR,optuna,VOX,2020-01-02
