date,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-05-01,causal,RFR,optuna,60,12,0.036747427666829445
2019-05-01,causal,RFR,random,36,12,0.03616532044176492
2019-05-01,causal,RFR,random,60,12,0.03607467013951529
2019-05-01,causal,XGBR,optuna,36,12,0.03654924341264625
2019-05-01,causal,XGBR,optuna,60,12,0.036421719981392826
2019-05-01,causal,XGBR,random,36,12,0.03600626140317517
2019-05-01,causal,XGBR,random,60,12,0.03634725328696658
2019-05-01,selectkbest,LGBMR,optuna,36,12,0.03639649517365611
2019-05-01,selectkbest,LGBMR,optuna,60,12,0.036360114866426284
2019-05-01,selectkbest,LGBMR,random,36,12,0.03623114839196274
2019-05-01,selectkbest,LGBMR,random,60,12,0.03623114839196274
2019-05-01,selectkbest,RFR,optuna,36,12,0.03613211218204467
2019-05-01,selectkbest,RFR,optuna,60,12,0.036375070940797165
2019-05-01,selectkbest,RFR,random,36,12,0.03652303428913436
2019-05-01,selectkbest,RFR,random,60,12,0.03652303428913436
2019-05-01,selectkbest,XGBR,optuna,36,12,0.03659553866786319
2019-05-01,selectkbest,XGBR,optuna,60,12,0.036770846257401006
2019-05-01,selectkbest,XGBR,random,36,12,0.0364928783887869
2019-05-01,selectkbest,XGBR,random,60,12,0.0364928783887869
2019-05-01,shap,LGBMR,optuna,36,12,0.03588449596170653
2019-05-01,shap,LGBMR,optuna,60,12,0.03617814838381805
2019-05-01,shap,LGBMR,random,36,12,0.03584062590011778
2019-05-01,shap,LGBMR,random,60,12,0.03584062590011778
2019-05-01,shap,RFR,optuna,36,12,0.03556072107454141
2019-05-01,shap,RFR,optuna,60,12,0.0353759775222083
2019-05-01,shap,RFR,random,36,12,0.03568605737755927
2019-05-01,shap,RFR,random,60,12,0.03568605737755927
2019-05-01,shap,XGBR,optuna,36,12,0.03649120212072501
2019-05-01,shap,XGBR,optuna,60,12,0.03658012064475734
2019-05-01,shap,XGBR,random,36,12,0.03581099785210976
2019-05-01,shap,XGBR,random,60,12,0.03581099785210976
2019-06-03,causal,LGBMR,optuna,36,12,0.037370465019292164
2019-06-03,causal,LGBMR,optuna,60,12,0.03708427144350896
