date,Method,ETF,RMSE
2023-08-01,estatico,VOX,0.06852903520533289
2023-08-01,causal,VOX,0.06923906118286437
2023-08-01,causal,SPY,0.05489332176125129
2023-08-01,selectkbest,IYR,0.06864782199800908
2023-08-01,shap,SPY,0.058376496047418604
2023-08-01,selectkbest,VOX,0.0666428744130309
2023-08-01,estatico,SPY,0.05787274630383157
2023-08-01,selectkbest,SPY,0.05552453532296905
2023-09-01,shap,XLK,0.06948098644322337
2023-09-01,causal,XLE,0.07828405320312468
2023-09-01,shap,XLE,0.07985123353403369
2023-09-01,estatico,XLE,0.08147479272943975
2023-09-01,selectkbest,XLE,0.08865520547629517
2023-09-01,estatico,XLI,0.06080583504941699
2023-09-01,causal,XLK,0.06979323468904393
2023-09-01,selectkbest,XLI,0.061793915388997346
2023-09-01,causal,XLB,0.06382298491361879
2023-09-01,shap,XLI,0.05995413650439662
2023-09-01,causal,XLI,0.062280212242199436
2023-09-01,selectkbest,XLB,0.0659071993436093
2023-09-01,shap,XLB,0.06421323977648961
2023-09-01,estatico,XLB,0.06798911259236405
2023-09-01,estatico,XLK,0.07224923703264204
2023-09-01,selectkbest,XLK,0.07000645127916455
2023-09-01,shap,XLF,0.0633757015648769
2023-09-01,causal,XLF,0.06564101483853388
2023-09-01,estatico,XLF,0.06372985970542326
2023-09-01,causal,XLP,0.05127924114013736
2023-09-01,estatico,XLP,0.04725886242959437
2023-09-01,shap,XLP,0.05313559858342648
2023-09-01,causal,XLY,0.06766788515191605
2023-09-01,selectkbest,XLF,0.06295321035139484
2023-09-01,shap,XLY,0.06997292754450242
2023-09-01,shap,XLV,0.04242755582271018
2023-09-01,causal,XLV,0.043066657269756566
2023-09-01,estatico,XLY,0.06807941442327067
2023-09-01,selectkbest,XLP,0.05346186385380514
2023-09-01,estatico,XLV,0.04270243859263616
2023-09-01,selectkbest,XLY,0.06937443978578074
2023-09-01,selectkbest,XLV,0.04299990824388864
2023-09-01,shap,XLU,0.05631028454246277
2023-09-01,estatico,XLU,0.05374875804119031
2023-09-01,causal,XLU,0.05386944606630766
2023-09-01,causal,IYR,0.06201280030437818
2023-09-01,shap,IYR,0.06296062480125077
2023-09-01,selectkbest,XLU,0.05282398526912676
2023-09-01,shap,VOX,0.06385631440794537
2023-09-01,shap,SPY,0.05053473857346365
2023-09-01,estatico,IYR,0.062028077343354034
2023-09-01,causal,SPY,0.050938000457836405
2023-09-01,estatico,VOX,0.06686342911612428
2023-09-01,selectkbest,IYR,0.062447308249784596
2023-09-01,causal,VOX,0.06677389381293186
2023-09-01,estatico,SPY,0.054722082980397546
2023-09-01,selectkbest,VOX,0.06361434103556043
2023-09-01,selectkbest,SPY,0.051128505390686765
2023-10-02,estatico,XLE,0.0881423526452308
2023-10-02,causal,XLK,0.07101507076113288
2023-10-02,shap,XLE,0.0767404519722369
2023-10-02,estatico,XLK,0.0726302169877633
2023-10-02,estatico,XLI,0.06332537767465776
2023-10-02,causal,XLB,0.06390576654567223
2023-10-02,shap,XLB,0.06960283522140563
2023-10-02,shap,XLI,0.06391461181765373
2023-10-02,selectkbest,XLE,0.08088100233120833
2023-10-02,causal,XLI,0.06579155985066724
2023-10-02,estatico,XLB,0.06931506387847079
2023-10-02,shap,XLK,0.07023852640553356
2023-10-02,causal,XLE,0.0767886505530922
2023-10-02,selectkbest,XLK,0.07065743778180511
2023-10-02,selectkbest,XLI,0.06458076936080881
2023-10-02,selectkbest,XLB,0.06911535416087775
2023-10-02,shap,XLF,0.06512404245781622
2023-10-02,causal,XLF,0.0651043278648231
2023-10-02,estatico,XLF,0.06359764016618973
2023-10-02,estatico,XLP,0.048979763138153755
2023-10-02,shap,XLP,0.05890870029146746
2023-10-02,causal,XLP,0.05352426783594891
2023-10-02,causal,XLY,0.06771073599184299
2023-10-02,shap,XLY,0.07240586786536346
2023-10-02,estatico,XLY,0.06814538022209178
2023-10-02,selectkbest,XLF,0.06575196173876081
2023-10-02,causal,XLV,0.041814584631726257
2023-10-02,selectkbest,XLP,0.0602923446495627
2023-10-02,shap,XLV,0.03988483772376664
2023-10-02,selectkbest,XLY,0.07135232956674023
2023-10-02,estatico,XLV,0.03924664943052151
2023-10-02,shap,XLU,0.06169724829240645
2023-10-02,causal,XLU,0.05833875079916042
2023-10-02,selectkbest,XLV,0.04086808259309306
2023-10-02,estatico,XLU,0.05680010894214796
2023-10-02,shap,IYR,0.06434340020241475
2023-10-02,estatico,IYR,0.06364965006204985
2023-10-02,causal,IYR,0.06282063490554578
2023-10-02,selectkbest,XLU,0.05546429316630164
2023-10-02,shap,VOX,0.06542179842477251
2023-10-02,causal,VOX,0.06575507535263117
2023-10-02,estatico,VOX,0.06695707421519757
2023-10-02,shap,SPY,0.052155325288093045
2023-10-02,causal,SPY,0.05254142411059181
2023-10-02,selectkbest,IYR,0.06387486259395031
2023-10-02,estatico,SPY,0.05348940853409813
2023-10-02,selectkbest,SPY,0.05224474132916769
2023-10-02,selectkbest,VOX,0.06496720210086683
2023-11-01,estatico,XLB,0.06666870593916212
2023-11-01,estatico,XLI,0.05485164528781843
2023-11-01,causal,XLE,0.07435394904879558
2023-11-01,causal,XLK,0.05738636685060518
2023-11-01,selectkbest,XLE,0.07921366783962407
2023-11-01,shap,XLK,0.05504114248060987
2023-11-01,selectkbest,XLB,0.06597602567940618
2023-11-01,estatico,XLK,0.060915583331363043
2023-11-01,causal,XLI,0.05872889737789328
2023-11-01,shap,XLE,0.07285504103290677
2023-11-01,shap,XLI,0.055588638050261166
2023-11-01,estatico,XLE,0.07872035724136361
2023-11-01,causal,XLB,0.06610563296643618
2023-11-01,shap,XLB,0.06831493601761894
2023-11-01,selectkbest,XLK,0.05694790187810825
2023-11-01,selectkbest,XLI,0.05659343696582686
2023-11-01,shap,XLF,0.060140060573444974
2023-11-01,causal,XLF,0.05896824883120844
2023-11-01,causal,XLP,0.04425178549403326
2023-11-01,estatico,XLF,0.05917309618191049
2023-11-01,shap,XLP,0.05318498287295777
2023-11-01,shap,XLY,0.06732406413500966
2023-11-01,estatico,XLP,0.04260274338323829
2023-11-01,causal,XLY,0.06429138782163539
2023-11-01,selectkbest,XLF,0.05920778407879109
2023-11-01,estatico,XLY,0.06562584621625987
2023-11-01,shap,XLV,0.04421244051262134
2023-11-01,causal,XLV,0.04321167168398462
2023-11-01,estatico,XLV,0.039773246095171806
2023-11-01,selectkbest,XLP,0.04400227799012165
2023-11-01,selectkbest,XLY,0.06379012941144961
2023-11-01,selectkbest,XLV,0.0425401889972584
2023-11-01,shap,XLU,0.046343948239248714
2023-11-01,causal,XLU,0.045378202401484304
2023-11-01,estatico,XLU,0.04614058335330686
2023-11-01,shap,IYR,0.05127440337277336
2023-11-01,causal,IYR,0.05032575378005215
2023-11-01,estatico,IYR,0.05114257026044579
2023-11-01,causal,VOX,0.05820145963444557
2023-11-01,selectkbest,XLU,0.04520915892983829
2023-11-01,shap,VOX,0.05800712796582571
2023-11-01,estatico,VOX,0.05749835239682367
2023-11-01,shap,SPY,0.04272582196142746
2023-11-01,causal,SPY,0.043067246432023004
2023-11-01,estatico,SPY,0.04314675768285078
2023-11-01,selectkbest,IYR,0.05346239384329132
2023-11-01,selectkbest,VOX,0.05775297548532136
2023-11-01,selectkbest,SPY,0.04200260339375422
2023-12-01,shap,XLE,0.0478480256260584
2023-12-01,estatico,XLE,0.05113495263133765
2023-12-01,shap,XLK,0.06395301023548074
2023-12-01,causal,XLI,0.05128799456597868
2023-12-01,estatico,XLI,0.04890474841407762
2023-12-01,shap,XLB,0.06748051456194255
2023-12-01,causal,XLK,0.06205918155888628
2023-12-01,selectkbest,XLB,0.06418007763585226
2023-12-01,estatico,XLB,0.06321786813474693
2023-12-01,causal,XLB,0.06275887027414699
2023-12-01,causal,XLE,0.0461487243075387
