n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Modelo,Metodo,ETF,date
118,14,6,3,log2,RFR,5,XLK,2023-05-31
59,10,6,2,sqrt,RFR,5,XLF,2023-05-31
71,21,4,2,sqrt,RFR,5,XLF,2023-05-31
86,30,5,2,log2,RFR,5,XLP,2023-05-31
157,15,3,3,sqrt,RFR,5,XLF,2023-05-31
200,30,4,3,sqrt,RFR,5,XLP,2023-05-31
84,17,6,1,sqrt,RFR,5,XLY,2023-05-31
138,15,5,2,log2,RFR,5,XLY,2023-05-31
85,13,5,3,log2,RFR,5,XLY,2023-05-31
197,20,2,3,log2,RFR,5,XLP,2023-05-31
166,15,2,2,log2,RFR,5,XLF,2023-05-31
194,15,2,2,sqrt,RFR,5,XLP,2023-05-31
200,30,6,3,log2,RFR,5,XLV,2023-05-31
179,30,5,3,sqrt,RFR,5,XLV,2023-05-31
95,30,6,3,sqrt,RFR,5,XLY,2023-05-31
128,15,3,3,log2,RFR,5,XLU,2023-05-31
198,20,3,3,sqrt,RFR,5,XLV,2023-05-31
172,27,3,3,log2,RFR,5,XLV,2023-05-31
154,26,6,2,log2,RFR,5,XLU,2023-05-31
199,15,3,3,sqrt,RFR,5,XLU,2023-05-31
82,25,4,1,sqrt,RFR,5,IYR,2023-05-31
118,29,6,3,sqrt,RFR,5,IYR,2023-05-31
71,25,3,3,sqrt,RFR,5,IYR,2023-05-31
129,18,4,3,log2,RFR,5,XLU,2023-05-31
50,18,2,3,log2,RFR,5,VOX,2023-05-31
66,15,6,1,log2,RFR,5,SPY,2023-05-31
200,30,4,3,log2,RFR,5,VOX,2023-05-31
55,12,2,3,log2,RFR,5,VOX,2023-05-31
67,16,4,2,log2,RFR,5,IYR,2023-05-31
102,22,6,1,sqrt,RFR,5,SPY,2023-05-31
162,28,6,3,log2,RFR,5,VOX,2023-05-31
129,17,3,3,sqrt,RFR,5,SPY,2023-05-31
199,30,5,3,sqrt,RFR,5,SPY,2023-05-31
54,10,5,2,log2,RFR,5,XLB,2023-06-30
56,10,3,2,sqrt,RFR,5,XLB,2023-06-30
54,10,2,2,log2,RFR,5,XLI,2023-06-30
197,30,6,3,sqrt,RFR,5,XLE,2023-06-30
54,20,5,2,log2,RFR,5,XLI,2023-06-30
50,12,3,3,sqrt,RFR,5,XLI,2023-06-30
181,25,4,3,sqrt,RFR,5,XLE,2023-06-30
80,10,2,2,sqrt,RFR,5,XLK,2023-06-30
99,14,6,3,sqrt,RFR,5,XLE,2023-06-30
196,26,6,3,sqrt,RFR,5,XLE,2023-06-30
191,20,2,3,sqrt,RFR,5,XLB,2023-06-30
75,24,3,3,log2,RFR,5,XLB,2023-06-30
200,20,5,3,sqrt,RFR,5,XLK,2023-06-30
176,19,2,3,log2,RFR,5,XLK,2023-06-30
177,23,2,3,log2,RFR,5,XLK,2023-06-30
133,14,5,2,sqrt,RFR,5,XLI,2023-06-30
74,12,3,2,sqrt,RFR,5,XLF,2023-06-30
50,23,6,2,log2,RFR,5,XLF,2023-06-30
80,27,3,3,log2,RFR,5,XLF,2023-06-30
75,22,4,3,sqrt,RFR,5,XLP,2023-06-30
176,10,4,3,log2,RFR,5,XLP,2023-06-30
85,24,6,2,log2,RFR,5,XLY,2023-06-30
157,26,4,2,sqrt,RFR,5,XLP,2023-06-30
142,13,6,2,sqrt,RFR,5,XLY,2023-06-30
199,17,4,3,sqrt,RFR,5,XLY,2023-06-30
