date,open,high,low,close,volume,dividend,split,gains,etf
2020-11-04,61.510761981966425,61.90225883799091,60.18714973446887,60.746421813964844,11097300,0.0,0.0,0.0,XLB
2020-11-05,62.144599007536776,63.701241716442205,62.09799715422481,63.22586441040039,8853700,0.0,0.0,0.0,XLB
2020-11-06,63.58939118570346,63.95291835232295,63.12332998629084,63.38432312011719,6075700,0.0,0.0,0.0,XLB
2020-11-09,66.42304549315229,67.49498769608147,64.71725976156729,64.81047058105469,16434200,0.0,0.0,0.0,XLB
2020-11-10,65.08077493144748,65.72394155687842,64.99688734284085,65.57479858398438,9825300,0.0,0.0,0.0,XLB
2020-11-11,65.62141005287901,65.62141005287901,64.15797835509584,64.59607696533203,6417700,0.0,0.0,0.0,XLB
2020-11-12,64.30712207832069,64.3537310427104,62.82505088291757,63.23517990112305,5526600,0.0,0.0,0.0,XLB
2020-11-13,63.71056333197091,64.5121891487159,63.69192401342006,64.32576751708984,5538600,0.0,0.0,0.0,XLB
2020-11-16,65.36040666109295,65.67732477343426,64.85705985485014,65.59343719482422,5482100,0.0,0.0,0.0,XLB
2020-11-17,65.18330719331254,65.50022533489141,64.52150126984358,65.35108947753906,6946900,0.0,0.0,0.0,XLB
2020-11-18,65.56548746389113,65.76123942980323,64.78250804636144,64.81047058105469,4621500,0.0,0.0,0.0,XLB
2020-11-19,64.64268140151431,65.18331405331104,64.13001839297239,65.08078002929688,3732700,0.0,0.0,0.0,XLB
2020-11-20,65.0621423144453,65.32313543235355,64.73589380553086,65.02485656738281,4429000,0.0,0.0,0.0,XLB
2020-11-23,65.5375281865732,65.96630366675012,65.2672118185536,65.56549072265625,4479500,0.0,0.0,0.0,XLB
2020-11-24,66.17137533521307,67.39246066545633,66.0968109387913,67.19670867919922,6137200,0.0,0.0,0.0,XLB
2020-11-25,67.07553047718545,67.10349301276919,66.37643864147218,66.49761199951172,3945100,0.0,0.0,0.0,XLB
2020-11-27,66.79588167644026,67.08483728885481,66.5255653793471,66.84248352050781,2297300,0.0,0.0,0.0,XLB
2020-11-30,66.74928994544963,66.80521501737338,65.81716748522722,66.17137145996094,4956700,0.0,0.0,0.0,XLB
2020-12-01,67.29923516199959,67.42041562668685,66.59082725065237,66.89842224121094,5237100,0.0,0.0,0.0,XLB
2020-12-02,66.69334520435656,66.92637575068692,65.91968208377311,66.04085540771484,5389800,0.0,0.0,0.0,XLB
2020-12-03,66.22730373704297,66.45101113658421,65.4349939555098,65.58413696289062,5735100,0.0,0.0,0.0,XLB
2020-12-04,65.86376530456931,66.91706094618615,65.84511887606422,66.9077377319336,5769200,0.0,0.0,0.0,XLB
2020-12-07,66.86113943172539,67.05688427224344,66.23661205118214,66.46964263916016,4004400,0.0,0.0,0.0,XLB
